Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,6,SS (I-X),2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,3,HSS (I-XII),2,Secondary,3,B.Ed. or equivalent,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,6,SS (I-X),2,Secondary,3,B.Ed. or equivalent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,30,21,9
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,1,PS (I-V),2,Secondary,5,Others,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,2,UPS (I-VIII),2,Secondary,5,Others,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,2,UPS (I-VIII),2,Secondary,5,Others,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,2,UPS (I-VIII),2,Secondary,5,Others,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,2,UPS (I-VIII),2,Secondary,5,Others,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,2,UPS (I-VIII),2,Secondary,5,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160403,LALJURI,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160404,JAMPUI,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,16,9,7
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,3,HSS (I-XII),2,Secondary,5,Others,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160403,LALJURI,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,6,SS (I-X),2,Secondary,5,Others,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,37,33,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,20,15,5
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,32,25,7
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,26,17,9
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,1,PS (I-V),2,Secondary,6,None,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,2,UPS (I-VIII),2,Secondary,6,None,0,0,0,0,16,5,0,0,0,1,0,0,0,0,0,0,0,0,22,16,6
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,2,UPS (I-VIII),2,Secondary,6,None,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,2,UPS (I-VIII),2,Secondary,6,None,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,2,UPS (I-VIII),2,Secondary,6,None,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3
2019-20,16,Tripura,1604,NORTH TRIPURA,160403,LALJURI,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,15,11,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160404,JAMPUI,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,16,8,0,0,3,0,0,0,0,0,0,0,0,0,27,19,8
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,17,13,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,3,HSS (I-XII),2,Secondary,6,None,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160404,JAMPUI,11,Department of Education,5,HSS (VI-XII),2,Secondary,6,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,15,9,0,0,0,1,0,0,0,0,0,0,0,0,25,15,10
2019-20,16,Tripura,1604,NORTH TRIPURA,160403,LALJURI,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,25,18,7
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,18,13,5
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,15,5,0,0,0,0,0,0,1,0,0,0,0,0,21,16,5
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,6,SS (I-X),2,Secondary,6,None,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,2,UPS (I-VIII),2,Secondary,8,Pursuing any relevant professional course,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,1,PS (I-V),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,3,HSS (I-XII),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,3,HSS (I-XII),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,6,SS (I-X),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,6,SS (I-X),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,6,SS (I-X),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,6,SS (I-X),3,Higher secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,3,HSS (I-XII),3,Higher secondary,3,B.Ed. or equivalent,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,1,PS (I-V),3,Higher secondary,5,Others,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,1,PS (I-V),3,Higher secondary,5,Others,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,1,PS (I-V),3,Higher secondary,5,Others,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,1,PS (I-V),3,Higher secondary,5,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,5,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,5,Others,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,5,Others,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,3,HSS (I-XII),3,Higher secondary,5,Others,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160403,LALJURI,11,Department of Education,3,HSS (I-XII),3,Higher secondary,5,Others,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,3,HSS (I-XII),3,Higher secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,3,HSS (I-XII),3,Higher secondary,5,Others,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,3,HSS (I-XII),3,Higher secondary,5,Others,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,3,HSS (I-XII),3,Higher secondary,5,Others,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160402,DASDA,11,Department of Education,6,SS (I-X),3,Higher secondary,5,Others,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160403,LALJURI,11,Department of Education,6,SS (I-X),3,Higher secondary,5,Others,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,6,SS (I-X),3,Higher secondary,5,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,6,SS (I-X),3,Higher secondary,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,6,SS (I-X),3,Higher secondary,5,Others,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,1,PS (I-V),3,Higher secondary,6,None,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,16,13,3
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,1,PS (I-V),3,Higher secondary,6,None,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,1,PS (I-V),3,Higher secondary,6,None,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,1,PS (I-V),3,Higher secondary,6,None,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4
2019-20,16,Tripura,1604,NORTH TRIPURA,160409,DHARMANAGAR M.C.,11,Department of Education,1,PS (I-V),3,Higher secondary,6,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,6,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,16,Tripura,1604,NORTH TRIPURA,160405,KADAMTALA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,6,None,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160406,KALACHERRA,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,6,None,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,6,5,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160407,PANISAGAR,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,6,None,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,16,Tripura,1604,NORTH TRIPURA,160408,JUBARAJNAGAR,11,Department of Education,2,UPS (I-VIII),3,Higher secondary,6,None,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1
2019-20,16,Tripura,1604,NORTH TRIPURA,160401,DAMCHERRA,11,Department of Education,3,HSS (I-XII),3,Higher secondary,6,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
